能源用戶名稱,所在區域
矽成積體電路股份有限公司,新竹市東區
旭德科技股份有限公司-軟板廠,新竹縣香山區
勝麗國際股份有限公司,新竹縣竹北市
鉗泰鐵工廠(股)公司,臺中市太平區
泰成粉廠股份有限公司,高雄市燕巢鄉
建一強冷凍食品股份有限公司,高雄市大寮鄉
超豐電子股份有限公司,苗栗縣竹南鎮
中國石油化學工業開發股份有限公司頭份廠,苗栗縣頭份市
友良高科技紡織股份有限公司二廠,嘉義縣太保市
穎明工業股份有限公司大湖廠,高雄市湖內鄉
豪傑股份有限公司,雲林縣斗六市
台塑石化股份有限公司煉油事業部,雲林縣麥寮鄉
台塑石化股份有限公司烯烴一廠,雲林縣麥寮鄉
台塑石化股份有限公司烯烴事業部烯烴二廠,雲林縣麥寮鄉
台灣塑膠工業股份有限公司麥寮聚乙烯醋酸乙烯酯廠,雲林縣麥寮鄉
台灣塑膠工業股份有限公司麥寮HDPE廠,雲林縣麥寮鄉
台灣塑膠工業股份有限公司麥寮塑膠廠,雲林縣麥寮鄉
台灣塑膠工業股份公司-麥寮鹼廠,雲林縣麥寮鄉
台塑石化股份有限公司烯烴事業部烯烴三廠,雲林縣麥寮鄉
台塑公司台麗朗事業部麥寮正丁醇廠,雲林縣麥寮鄉
台塑公司台麗朗事業部高吸水性樹脂廠,雲林縣麥寮鄉
台塑石化股份有限公司麥寮公用廠汽電一區,雲林縣麥寮鄉
台塑石化股份有限公司(公用二廠),雲林縣麥寮鄉
台塑石化股份有限公司麥寮三廠(汽三區公用三廠),雲林縣麥寮鄉
台塑公司台麗朗事業部麥寮碳纖廠,雲林縣麥寮鄉
台塑公司台麗朗事業部麥寮AE廠,雲林縣麥寮鄉
台灣塑膠工業公司麥寮線性低度聚乙烯廠,雲林縣麥寮鄉
台灣塑膠工業股份有限公司麥寮氯乙烯廠,雲林縣麥寮鄉
台塑石化股份有限公司碼槽處,雲林縣麥寮鄉
全晉實業股份有限公司,臺南市鹽水區
永信藥品工業股份有限公司抗生素廠,臺中市大甲區
名牌食品股份有限司頭廠二廠,宜蘭縣頭城鎮
中聯油脂股份有限公司台中港廠,臺中市清水區
南茂科技股份有限公司,臺南市善化區
高雄市政府環境保護局南區資源回收廠,高雄市小港區
台灣電力股份有限公司林口發電廠,新北市林口區
台灣電力公司台中發電廠,臺中市龍井區
台灣電力公司大林發電廠,高雄市小港區
台灣電力公司協和發電廠,基隆市中山區
台灣電力公司南部發電廠,高雄市前鎮區
旭德科技股份有限公司,新竹縣香山區
佳總興業(股)有限公司,桃園市桃園區
信昌電子陶瓷股份有限公司桃園廠,桃園市蘆竹區
志超科技股份有限公司平鎮廠,桃園市平鎮區
本盟光電股份有限公司平鎮廠,桃園市平鎮區
功學社教育用品股份有限公司,桃園市中壢區
台灣永光化學工業股份有限公司第三廠,桃園市觀音區
台灣富綢纖維股份有限公司富岡廠,桃園市楊梅區
潤泰全球股份有限公司楊梅二廠,桃園市楊梅區
新崇工業有限公司,新北市五股區
中強光電股份有限公司,新竹市東區
天聲工業股份有限公司,新竹市香山區
達新工業股份有限公司中港廠,臺中市梧棲區
大同鋁業股份有限公司,嘉義縣民雄鄉
瑞華實業股份有限公司,臺南市山上區
高雄晶傑達光電科技股份有限公司,高雄市前鎮區
華東科技股份有限公司,高雄市前鎮區
台灣住礦科技股份有限公司,高雄市楠梓區
楠梓電子股份有限公司三廠,高雄市楠梓區
強茂股份有限公司,高雄市岡山鎮
世豐螺絲股份有限公司f橋頭廠,高雄市橋頭鄉
長興材料工業股份有限公司屏南分公司,屏東縣枋寮鄉
聖岱實業股份有限公司,臺中市大里區
台榮產業股份有限公司雲林廠,雲林縣虎尾鎮
漢洋工業股份有限公司,苗栗縣通霄鎮
高技企業股份有限公司,桃園市桃園區
集盛實業股份有限公司第三廠,桃園市觀音區
國晟工業股份有限公司桃園廠,桃園市蘆竹區
志聯工業股份有限公司新屋一廠,桃園市新屋區
台灣柏恩氏電子股份有限公司,新北市林口區
鎰勝工業股份有限公司,桃園市龜山區
錸德科技股份有限公司,新竹縣香山區
泰和製粉廠股份有限公司,臺中市大肚區
興中台股份有限公司,彰化縣埤頭鄉
台灣積體電路製造股份有限公司(六廠),臺南市善化區
台灣福興工業股份有限公司,高雄市岡山鎮
賢柏企業股份有限公司,高雄市岡山鎮
慶堂工業股份有限公司梓官廠,高雄市梓官鄉
禹青企業股份有限公司,高雄市大寮鄉
宏泰電工股份有限公司,桃園市觀音區
頎邦科技股份有限公司,新竹市東區
利汎科技(股)有限公司關西廠,新竹縣關西鎮
漢翔航空工業股份有限公司沙鹿廠,臺中市沙鹿區
旺詮股份有限公司,高雄市楠梓區
日月光半導體製造股份有限公司第三廠,高雄市楠梓區
路竹新益工廠股份有限公司,高雄市路竹鄉
路竹新益工廠股份有限公司第二廠,高雄市路竹鄉
味全食品工業股份有限公司高雄廠,高雄市路竹鄉
建中熱處理股份有限公司,高雄市岡山鎮
正隆股份有限公司中和紙器廠,新北市板橋區
台灣古河電磁線股份有限公司,桃園市平鎮區
佳格食品股份有限公司,桃園市大園區
台硝股份有限公司桃園廠,桃園市蘆竹區
秋雨創新股份有限公司林口廠,桃園市龜山區
台灣松下多層材料股份有限公司,新竹縣香山區
東和真空鍍金股份有限公司,嘉義縣民雄鄉
聯合報股份有限公司高雄印刷廠,高雄市小港區
日南紡織股份有限公司東明廠,臺中市桃園區
中環股份有限公司,桃園市蘆竹區
大毅科技股份有限公司,桃園市蘆竹區
力特光電科技股份有限公司平鎮廠,桃園市平鎮區
久尹股份有限公司,桃園市楊梅區
鈺創科技股份有限公司,新竹市東區
鴻海精密工業股份有限公司新竹園區分公司,新竹市東區
乾坤科技股份有限公司,新竹市東區
全興工業股份有限公司,彰化縣花壇鄉
健信科技工業股份有限公司,彰化縣線西鄉
繼茂橡膠工業股份有限公司,彰化縣鹿港鎮
東隆興業股份有限公司彰化芳苑廠,彰化縣芳苑鄉
雅昌實業股份有限公司,彰化縣芳苑鄉
正興活塞股份有限公司,高雄市路竹鄉
燁輝企業股份有限公司工程事業部路竹廠,高雄市路竹鄉
宏森木業股份有限公司,屏東縣屏東市
崧貿興業有限公司,臺中市霧峰區
力山工業股份有限公司,臺中市大里區
華宏新技股份有限公司官田廠,臺南市官田區
永信藥品工業股份有限公司台中幼獅廠,臺中市大甲區
沈氏藝術印刷股份有限公司一廠,新北市土城區
聯致科技股份有限公司蘆竹廠,桃園市蘆竹區
福隆硬鉻工業股份有限公司楊梅廠,桃園市楊梅區
台灣明尼蘇達礦業製造股份有限公司楊梅廠,桃園市楊梅區
神達電腦股份有限公司林口廠,桃園市龜山區
友達光電股份有限公司L3A廠,新竹市東區
盟創科技股份有限公司,新竹縣寶山鄉
虹光精密工業股份有限公司,新竹縣寶山鄉
勝隆纖維股份有限公司,彰化縣和美鎮
伸仁紡織股份有限公司,彰化縣伸港鄉
銅晟伸銅股份有限公司,彰化縣鹿港鎮
帝寶工業股份有限公司,彰化縣鹿港鎮
偉發實業股份有限公司關廟廠,臺南市關廟區
日月光電子股份有限公司,高雄市楠梓區
衛普實業股份有限公司,高雄市永安鄉
竹洲工業股份有限公司南崗廠,南投縣南投市
順晉實業股份有限公司,雲林縣斗六市
億光電子工業股份有限公司,新北市土城區
東聯光訊玻璃工業股份有限公司,桃園市蘆竹區
力鵬企業股份有限公司楊梅廠,桃園市楊梅區
金像電子股份有限公司中壢廠,桃園市中壢區
錦展實業股份有限公司,桃園市觀音區
博智電子股份有限公司,桃園市龍潭區
台灣光罩股份有限公司,新竹縣寶山鄉
台灣光罩股份有限公司三廠,新竹市東區
台豐印刷電路工業股份有限公司新竹工廠,新竹縣香山區
奇力新電子股份有限公司,新竹縣香山區
大成長城企業股份有限公司彰化總廠,彰化縣伸港鄉
邦旭股份有限公司,彰化縣埔心鄉
鑫立重工股份有限公司,嘉義縣朴子市
台灣雙葉電子股份有限公司,高雄市楠梓區
高力熱處理工業股份有限公司永安廠,高雄市永安鄉
合機電線電纜股份有限公司觀音廠,桃園市觀音區
大華金屬工業股份有限公司富岡廠,桃園市楊梅區
安可光電股份有限公司,新竹縣香山區
中創科技股份有限公司,新竹縣香山區
國碩科技工業股份有限公司,新竹縣香山區
志同塑膠工業股份有限公司湖口廠,新竹縣香山區
大東樹脂化學股份有限公司,臺中市西屯區
宏全國際股份有限公司台中廠,臺中市西屯區
竝凱工業股份有限公司,彰化縣芳苑鄉
嘉義鐵線製品股份有限公司,嘉義市東區
榮璋工業股份有限公司路竹廠,高雄市路竹鄉
富岳冷凍食品廠股份有限公司,高雄市前鎮區
儒鴻企業股份有限公司,苗栗縣後龍鎮
合正科技股份有限公司,桃園市中壢區
建榮工業材料股份有限公司楊梅廠,桃園市楊梅區
聯華電子股份有限公司(8S廠),新竹縣寶山鄉
華友材料科技股份有限公司,新竹縣香山區
欣興電子股份有限公司仁義廠,新竹縣香山區
泰慶紡織股份有限公司,臺中市清水區
順詠五金企業股份有限公司,彰化縣鹿港鎮
富強輪胎工廠股份有限公司,彰化縣員林市
台灣神隆股份有限公司,臺南市善化區
聯超實業股份有限公司屏南廠,屏東縣枋寮鄉
英業達股份有限公司,臺北市士林區
江鍛工業股份有限公司,臺中市大里區
順昶塑膠股份有限公司仁武廠,高雄市大社鄉
展頌股份有限公司斗六廠,雲林縣斗六市
旗勝科技股份有限公司台南廠,臺南市麻豆區
巨擘先進股份有限公司中興廠,苗栗縣銅鑼鄉
長榮國際股份有限公司桃園印刷廠,桃園市蘆竹區
力鵬企業股份有限公司尼龍總廠,彰化縣芳苑鄉
萬佳津食品股份有限公司工廠,彰化縣北斗鎮
仁寶電腦工業股份有限公司平鎮廠,桃園市平鎮區
華通電腦股份有限公司大園廠,桃園市大園區
信通交通器材股份有限公司,桃園市龍潭區
正豐塑膠股份有限公司龍潭廠,桃園市龍潭區
競國實業股份有限公司,新北市樹林區
台燿科技股份有限公司,新竹縣竹北市
福懋油脂股份有限公司,臺中市大肚區
興國橡膠廠股份有限公司雲林分公司,雲林縣莿桐鄉
燁輝企業股份有限公司屏東廠,屏東縣屏東市
華東科技股份有限公司,高雄市前鎮區
傑俐實業股份有限公司,臺南市關廟區
必翔電能高科技股份有限公司,新竹縣香山區
智邦科技股份有限公司,新竹市東區
鈺德科技股份有限公司林口廠,桃園市龜山區
冠順染整股份有限公司大園廠,桃園市大園區
巨竹企業股份有限公司,桃園市大園區
瑞隆鑄造工業股份有限公司,桃園市蘆竹區
光磊科技股份有限公司一廠,新竹縣寶山鄉
聯華電子股份有限公司(8F廠),新竹市東區
景陽製瓶工業股份有限公司,桃園市蘆竹區
德昌皮革製品股份有限公司,桃園市大園區
榮鑫實業股份有限公司中壢廠,桃園市中壢區
興光熱處理廠股份有限公司,臺中市西屯區
海光企業股份有限公司嘉興鋼鐵廠,高雄市小港區
中環股份有限公司林口二廠,桃園市龜山區
台灣中華化學工業股份有限公司觀音廠,桃園市觀音區
瀚宇博德股份有限公司觀音廠,桃園市觀音區
柏緯鐵工股份有限公司(大發廠),高雄市大寮鄉
堤維西交通工業股份有限公司,臺南市南區
台灣住友培科股份有限公司高雄廠,高雄市大寮鄉
金皇企業股份有限公司屏南廠,屏東縣枋寮鄉
台灣富美家股份有限公司,新竹縣新豐鄉
敬鵬工業股份有限公司,桃園市蘆竹區
重盈陽成工業股份有限公司仁武廠,高雄市楠梓區
李長榮科技股份有限公司,高雄市小港區
大宇紡織股份有限公司專業假撚廠,彰化縣鹿港鎮
合晶科技股份有限公司,桃園市楊梅區
廣達電腦股份有限公司總廠,桃園市龜山區
慶紅實業股份有限公司,桃園市平鎮區
凱士士企業股份有限公司附設工廠,臺南市七股區
矽格股份有限公司,新竹縣竹東鎮
台灣高技股份有限公司,新竹縣寶山鄉
大中鋼鐵股份有限公司楊梅廠,桃園市楊梅區
中環股份有限公司林口三、四廠,桃園市龜山區
信綺絲織廠股份有限公司,新北市土城區
友達光電股份有限公司(L3B廠),新竹市東區
台灣卜蜂企業股份有限公司高雄廠,高雄市永安鄉
毅嘉科技股份有限公司,桃園市龜山區
南亞塑膠工業股份有限公司錦興公用廠,桃園市蘆竹區
南亞塑膠工業股份有限公司錦興廠,桃園市蘆竹區
南亞電路板股份有限公司錦興廠,桃園市蘆竹區
京元電子股份有限公司第二廠,新竹市東區
艾克爾先進科技股份有限公司,新竹縣香山區
富喬工業股份有限公司,雲林縣斗六市
南六企業股份有限公司二廠,高雄市燕巢鄉
裕鐵企業股份有限公司岡山廠,高雄市燕巢鄉
億量企業股份有限公司,彰化縣彰化市
立敦科技股份有限公司,苗栗縣銅鑼鄉
力成科技股份有限公司新埔廠,新竹縣新埔鎮
聯發紡織纖維股份有限公司竹北廠,新竹縣竹北市
金品金屬工業有限公司,新北市鶯歌區
宏達國際電子股份有限公司,新北市新店區
新永和製皮廠股份有限公司,臺南市新營區
杏輝藥品工業股份有限公司,宜蘭縣冬山鄉
元昶玻璃股份有限公司楊梅廠,桃園市楊梅區
志祥精密工業股份有限公司桃園廠,桃園市龍潭區
合機電線電纜股份有限公司二廠,桃園市觀音區
東陽實業廠股份有限觀音廠,桃園市觀音區
永彰機電股份有限公司觀音廠,桃園市觀音區
茂順密封元件科技股份有限公司,南投縣南投市
福盛製罐工廠股份有限公司,彰化縣大村鄉
金寶電子工業股份有限公司深坑廠,新北市深坑區
國巨股份有限公司,高雄市大社鄉
華新科技股份有限公司高雄分公司,高雄市前鎮區
能元科技股份有限公司,臺南市善化區
晶元光電股份有限公司(S3廠),臺南市善化區
大成不鏽鋼工業股份有限公司,臺南市仁德區
台灣德聯高科股份有限公司楊梅廠,桃園市楊梅區
協昌染整股份有限公司,新北市樹林區
冠昌塑膠企業股份有限公司第二廠,臺南市關廟區
三恆金屬股份有限公司,臺南市佳里區
興光工業股份有限公司,臺南市安南區
台灣典範半導體股份有限公司,高雄市前鎮區
屏東縣政府環境保護局屏東崁頂垃圾資源回收廠,屏東縣崁頂鄉
合信汽車工業股份有限公司埔心廠,桃園市平鎮區
台灣自來水股份有限公司第十二區管理處,新北市鶯歌區
上銀科技股份有限公司,臺中市西屯區
菱生精密工業股份有限公司,臺中市潭子區
鑫輿股份有限公司,彰化縣伸港鄉
新鷹精器股份有限公司,高雄市燕巢鄉
奇美食品股份有限公司湖內廠,高雄市湖內鄉
富晟企業行,屏東縣里港鄉
中國鋼鐵結構股份有限公司官田廠,臺南市官田區
俊行記實業股份有限公司,桃園市龜山區
錦群實業股份有限公司平鎮廠,桃園市平鎮區
順豐企業股份有限公司,彰化縣線西鄉
茂生飼料股份有限公司高雄廠,高雄市小港區
宇環科技股份有限公司,桃園市蘆竹區
台灣省自來水股份有限公司第三區管理處,新竹市東區
興太化學製葯股份有限公司王田廠,臺中市大肚區
明昌輪業股份有限公司第二廠,屏東縣屏東市
三祥纖維股份有限公司斗六廠,雲林縣林內鄉
順麟印染股份有限公司,桃園市蘆竹區
新北市政府環境保護局八里垃圾焚化廠,新北市八里區
般若科枝股份有限公司,臺中市西屯區
宏全國際股份有限公司台中二廠,臺中市西屯區
泰山企業股份有限公司田中食品廠,彰化縣田中鎮
欣業企業股份有限公司民雄廠,嘉義縣民雄鄉
廣璋實業股份有限公司,嘉義縣太保市
豐盟企業股份有限公司中洲廠,臺南市仁德區
綠化環保工程股份有限公司仁武廠,高雄市仁武鄉
友旺科技股份有限公司竹南廠,苗栗縣竹南鎮
旭鴻染整有限公司,桃園市大園區
竹華工業股份有限公司,高雄市路竹鄉
日新電機廠股份有限公司,臺中市霧峰區
清豪工業股份有限公司,高雄市大寮鄉
台灣迪愛禧色彩股份有限公司,桃園市觀音區
漢民科技股份有限公司,新竹市東區
寰邦科技股份有限公司新竹廠,新竹縣香山區
泳鋐工業股份有限公司,彰化縣伸港鄉
順越工業股份有限公司,臺南市新市區
臺灣糖業股份有限公司環保事業營運分處(高雄市岡山焚化廠),高雄市岡山鎮
台灣自來水股份有限公司第七區管理處,高雄市大寮鄉
偉全實業股份有限公司蘆竹廠,桃園市蘆竹區
智晟實業股份有限公司桃園廠,桃園市蘆竹區
友達光電股份有限公司桃園分公司,桃園市龍潭區
中美嘉吉股份有限公司台中飼料廠,臺中市大肚區
傳裕企業股份有限公司,臺中市龍井區
統奕包裝股份有限公司,臺南市麻豆區
台達電子工業股份有限公司桃園廠,桃園市桃園區
同欣電子工業股份有限公司台北工廠,新北市鶯歌區
至興精機股份有限公司,彰化縣伸港鄉
堡勝企業股份有限公司,彰化縣大村鄉
陸仕企業股份有限公司屏東廠,屏東縣內埔鄉
正大纖維工業股份有限公司,臺北市北投區
台灣自來水股份有限公司第七區管理處高雄給水廠,高雄市大樹鄉
台灣汽電共生股份有限公司官田廠,臺南市官田區
弘運鋼鐵工業股份有限台南廠,臺南市官田區
明基材料股份有限公司,桃園市龜山區
台灣佩克科技股份有限公司,桃園市平鎮區
揚弘實業股份有限公司,桃園市平鎮區
光群雷射科技股份有限公司,新竹市東區
欣晃科技股份有限公司,臺中市南屯區
群創光電股份有限公司(二廠),臺南市善化區
群創光電股份有限公司(三廠),臺南市善化區
台灣康寧顯示玻璃股份有限公司,臺南市善化區
亞東工業氣體股份有限公司楠梓分公司,高雄市楠梓區
華盛螺絲股份有限公司,高雄市岡山鎮
喜年來股份有限公司南投廠,南投縣南投市
台灣特浦股份有限公司,高雄市大寮鄉
立敦科技股份有限公司,苗栗縣銅鑼鄉
東方聯合耐火股份有限公司,新北市瑞芳區
晉倫科技股份有限公司一廠,桃園市大園區
台灣積體電路製造股份有限公司十二廠,新竹市東區
鋐光實業股份有限公司,臺中市外埔區
大倡國際商務股份有限公司,彰化縣鹿港鎮
伸焌股份有限公司,彰化縣埔鹽鄉
中鋼焊材廠股份有限公司,臺南市永康區
群創光電股份有限公司(C廠-LCM廠A/B棟),臺南市善化區
富雅樂企業股份有限公司,臺南市善化區
金瑞治科技股份有限公司,苗栗縣竹南鎮
嘉發實業工廠股份有限公司埔心廠,桃園市楊梅區
友達光電股份有限公司桃園分公司,桃園市龜山區
光磊科技股份有公司,新竹市東區
台元紡織股份有限公司竹北總廠,新竹縣竹北市
臺灣精星科技股份有限公司,新竹縣香山區
成川鋼管股份有限公司,彰化縣花壇鄉
夏暉物流有限公司-彰化廠,彰化縣大城鄉
萬財興業股份有限公司,嘉義縣大林鎮
祐鉅工業有限公司,臺南市佳里區
光陽工業股份有限公司路竹廠,高雄市路竹鄉
海霸王股份有限公司高雄分公司,高雄市前鎮區
凌巨科技股份有限公司,苗栗縣頭份市
中華彩色印刷股份有限公司,新北市新店區
技嘉科技股份有限公司,桃園市平鎮區
洋華光電股份有限公司觀音廠,桃園市觀音區
聯成金屬製造廠股份有限公司,桃園市觀音區
台灣省自來水股份有限公司平鎮給水廠,桃園市龍潭區
允成化學工業股份有限公司,臺南市善化區
頎邦科技股份有限公司南六廠,高雄市前鎮區
宇辰光電科技股份有限公司中壢廠,桃園市中壢區
欣興電子股份有限公司中壢廠,桃園市中壢區
台灣晶技股份有限公司平鎮廠,桃園市平鎮區
九豪精密陶瓷股份有限公司,桃園市平鎮區
台灣中油股份有限公司煉製事業部桃園煉油廠沙崙儲運課,桃園市大園區
吉祥工業股份有限公司,新北市林口區
信夫複層玻璃股份有限公司林口廠,桃園市龜山區
裕器工業股份有限公司,新竹縣香山區
立國鍛品工業股份有限公司,臺中市太平區
光聯科技股份有限公司,臺中市潭子區
晉瑜企業股份有限公司全興廠,彰化縣和美鎮
昌謚工業股份有限公司,彰化縣線西鄉
宏聚塑膠股份有限公司,彰化縣芳苑鄉
共輪金屬工業股份有限公司,嘉義縣民雄鄉
台灣省自來水公司第五區管理處嘉義給水廠水上場,嘉義縣水上鄉
漢翔航空工業(股)發動機事業處,高雄市岡山鎮
廣豐工業股份有限公司里港廠,屏東縣里港鄉
環宏工業股份有限公司,高雄市小港區
益有機械股份有限公司,臺中市大甲區
競國實業股份有限公司光武廠,新北市樹林區
光環科技股份有限公司,新竹市東區
台灣信越矽利光股份有限公司,新竹縣香山區
新三興股份有限公司,新竹縣香山區
弘裕企業股份有限公司伸港廠,彰化縣伸港鄉
維力食品工業股份有限公司,彰化縣田中鎮
台灣蠟品股份有限公司,嘉義縣民雄鄉
鹿草垃圾焚化廠-達和環保服務(股)公司嘉義分公司,嘉義縣鹿草鄉
和明紡織股份有限公司,臺南市安南區
台灣農畜產工業股份有限公司,屏東縣屏東市
大鐺鑄造有限公司,臺中市霧峰區
寶結實業股份有限公司,桃園市大園區
金車股份有限公司平鎮廠,桃園市平鎮區
合興電線電纜股份有限公司,新北市三峽區
台灣盛禧奧股份有限公司新竹廠,新竹縣香山區
全興油封企業股份有限公司,彰化縣花壇鄉
金界工業股份有限公司一廠,彰化縣埤頭鄉
台灣水泥股份有限公司和平分公司和平廠,花蓮縣秀林鄉
復盛精密工業股份有限公司湖口廠,新竹縣香山區
菱生精密工業股份有限公司,臺中市潭子區
允強實業股份有限公司溪州廠,彰化縣溪州鄉
昇興熱處理股份有限公司,臺南市永康區
利勤實業股份有限公司,雲林縣斗六市
宏達國際電子股份有限公司,桃園市桃園區
大恭化學工業股份有限公司大園廠,桃園市大園區
第一美卡事業股份有限公司,桃園市龜山區
晶元光電股份有限公司,新竹市東區
嘉晶電子股份有限公司,新竹市東區
聯測科技股份有限公司,新竹市東區
南茂科技股份有限公司,新竹縣竹北市
鴻谷科技股份有限公司,新竹縣香山區
矽品精密工業股份有限公司中山廠,臺中市潭子區
聯華電子股份有限公司,臺南市善化區
儷耀科技股份有限公司,高雄市前鎮區
華泰電子股份有限公司,高雄市楠梓區
儒億科技股份有限公司,臺南市麻豆區
金門酒廠實業股份有限公司-金寧廠,金門縣金寧鄉
力伽實業股份有限公司,臺南市安南區
達方電子股份有限公司台南廠,臺南市安南區
台灣杰士電池股份有限公司官田廠,臺南市官田區
惠普股份有限公司,苗栗縣竹南鎮
環泰企業股份有限公司,桃園市蘆竹區
名佳利金屬工業股份有限公司,桃園市中壢區
安捷企業有限公司平鎮廠,桃園市平鎮區
佳美食品工業股份有限公司,臺中市大里區
可成科技股份有限公司,臺南市永康區
南良實業股份有限公司,臺南市永康區
華東科技股份有限公司(B15廠),高雄市善化區
日月光半導體製造股份有限公司,高雄市楠梓區
國巨股份有限公司大發二廠,高雄市大寮鄉
旭和螺絲工業股份有限公司,高雄市小港區
永記造漆工業股份有限公司,高雄市小港區
崑益企業股份有限公司,桃園市桃園區
達邁科技股份有限公司,新竹縣新埔鎮
亞洲光學股份有限公司安和分公司,臺中市潭子區
茂迪股份有限公司園區分公司,臺南市善化區
福隆尖端科技股份有限公司善化廠,臺南市善化區
台灣艾銳勢股份有限公司,新北市新店區
廣喆金屬工業股份有限公司,桃園市八德區
中環股份有限公司中壢一廠,桃園市中壢區
金像電子股份有限公司中壢三廠,桃園市中壢區
昇元窯業股份有限公司,桃園市觀音區
又喜實業股份有限公司,桃園市楊梅區
南豐工業股份有限公司,新竹縣香山區
欣興電子股份有限公司新豐一廠,新竹縣新豐鄉
久正光電股份有限公司,臺中市西屯區
大寶精密工具股份有限公司,高雄市岡山鎮
榮眾科技股份有限公司,臺南市新營區
金門酒廠實業股份有限公司-金城廠,金門縣金城鎮
燿華電子股份有限公司土城二廠,新北市土城區
名牌食品股份有限公司頭城廠,宜蘭縣頭城鎮
和碩聯合科技股份有限公司桃園廠,桃園市龜山區
定穎電子股份有限公司桃園廠,桃園市龜山區
台達電子工業股份有限公司,桃園市龜山區
永豐餘工業用紙股份有限公司桃園廠,桃園市蘆竹區
台文針織股份有限公司中壢廠,桃園市中壢區
力麗企業股份有限公司中壢一廠,桃園市中壢區
台灣日芯科技股份有限公司,桃園市平鎮區
聯璟實業有限公司,桃園市觀音區
和星纖維工業股份有限公司觀音廠,桃園市觀音區
利芃國際股份有限公司觀音二廠,桃園市觀音區
柏承科技股份有限公司蘆竹二廠,桃園市蘆竹區
耿鼎企業股份有限公司二廠,桃園市蘆竹區
台灣電綜股份有限公司,桃園市楊梅區
勝華科技股份有限公司楊梅廠,桃園市楊梅區
豐達科技股份有限公司平鎮二廠,桃園市平鎮區
景碩科技股份有限公司石磊廠,桃園市新屋區
路盛實業股份有限公司,桃園市龍潭區
台全電機股份有限公司,桃園市龍潭區
一詮精密工業股份有限公司二廠,新北市五股區
中國砂輪企業有限公司,新竹縣竹北市
金山電能科技股份有限公司,新竹縣香山區
協祥機械工業股份有限公司新竹廠,新竹縣香山區
佳乳食品股份有限公司,新竹縣香山區
濟生化學製藥廠股份有限公司,新竹縣香山區
台灣山葉機車工業股份有限公司新竹工廠,新竹縣香山區
正文科技(股)公司新竹廠,新竹縣香山區
南茂科技股份有限公司湖口二廠,新竹縣香山區
三陽工業股份有限公司新竹廠,新竹縣香山區
環隆科技股份有限公司,臺中市南屯區
順天堂藥廠股份有限公司台中廠,臺中市西屯區
希華晶體科技股份有限公司,臺中市潭子區
光聯科技股份有限公司,臺中市潭子區
內新紡織股份有限公司,臺中市大里區
茂成紡織股份有限公司,彰化縣和美鎮
英全化學工業股份有限公司(全興廠),彰化縣伸港鄉
集合成環保科技股份有限公司,彰化縣伸港鄉
炎洲股份有限公司,彰化縣鹿港鎮
普裕興業股份有限公司,彰化縣芳苑鄉
正順紡織企業股份有限公司,彰化縣田中鎮
釗鴻鋼鐵工業股份有限公司,臺南市永康區
冠昌塑膠企業股份有限公司一廠,臺南市關廟區
宏捷科技股份有限公司,臺南市新市區
三福氣體股份有限公司南科廠,臺南市善化區
群創光電股份有限公司,臺南市善化區
三福化工股份有限公司善化廠,臺南市善化區
佳大化工股份有限公司,臺南市善化區
台灣國際彩光股份有限公司,臺南市安南區
和明紡織股份有限公司坤進廠,臺南市七股區
瑞儀光電股份有限公司,高雄市前鎮區
日月光半導体製造(股)公司第二廠,高雄市楠梓區
南昇塑膠工業股份有限公司,高雄市大社鄉
聯鐵企業股份有限公司,高雄市橋頭鄉
毅龍工業股份有限公司,高雄市橋頭鄉
燁興企業股份有限公司不銹鋼廠,高雄市岡山鎮
德奇鋼鐵工業股份有限公司,高雄市路竹鄉
安得烈股份有限公司,屏東縣內埔鄉
和生開發有限公司,屏東縣里港鄉
鴻海精密工業股份有限公司內湖分公司,臺北市內湖區
理成工業股份有限公司大發廠,高雄市大寮鄉
中華食品實業股份有限公司,高雄市大樹鄉
新和興海洋企業公司,高雄市前鎮區
高雄空廚股份有限公司,高雄市小港區
和桐化學股份有限公司,高雄市仁武鄉
旭硝子顯示玻璃股份有限公司,雲林縣斗六市
金居開發股份有限公司斗六二廠,雲林縣斗六市
孟益企業股份有限公司,臺南市新營區
登榮塑膠企業股份有限公司,臺南市柳營區
鹽水鎮冷凍肉雞產銷班肉雞電宰廠,臺南市鹽水區
群創光電股份有限公司T3廠,苗栗縣竹南鎮
微矽電子股份有限公司,苗栗縣苗栗市
台灣中油公司探採事業部注儲工程處,苗栗縣通霄鎮
高雄塑酯化學工業股份有限公司,高雄市大社鄉
新桃電力股份有限公司,新竹縣關西鎮
長生電力股份有限公司,桃園市蘆竹區
和平電力股份有限公司,花蓮縣秀林鄉
麥寮汽電股份有限公司,雲林縣麥寮鄉
耿鼎企業股份有限公司一廠,桃園市蘆竹區
亞太優勢微系統股份有限公司,新竹市東區
上銀科技股份有限公司,臺中市西屯區
大連化學工業股份有限公司,雲林縣麥寮鄉
矽統科技股份有限公司,新竹市東區
微星科技股份有限公司中和三廠,新北市中和區
信東生技股份有限公司,桃園市桃園區
台灣林吉金屬股份有限公司桃園廠,桃園市龜山區
實創得精密股份有限公司,桃園市蘆竹區
汰錩工業股份有限公司,桃園市蘆竹區
四加實業股份有限公司中壢二廠,桃園市中壢區
理隆纖維工業股份有限公司中壢工廠,桃園市中壢區
敬鵬工業股份有限公司平鎮三廠,桃園市平鎮區
