能源用戶名稱,所在區域
亞洲水泥股份有限公司新竹製造廠,新竹縣橫山鄉
貝民股份有限公司香山廠,新竹市香山區
廣源造紙股份有限公司竹南廠,苗栗縣竹南鎮
頭份工業股份有限公司,苗栗縣竹南鎮
華夏海灣塑膠股份有限公司,苗栗縣頭份市
恆誼化工股份有限公司,苗栗縣頭份市
大華金屬工業股份有限公司頭份廠,苗栗縣頭份市
宏明紙業股份有限公司,苗栗縣竹南鎮
連泰紙業股份有限公司,苗栗縣造橋鄉
朝陽紙業股份有限公司,苗栗縣造橋鄉
台灣肥料股份有限公司苗栗廠,苗栗縣苗栗市
長春石油化學股份有限公司苗栗廠,苗栗縣苗栗市
裕隆汽車製造股份有限公司三義工廠,苗栗縣三義鄉
臺鹽實業股份有限公司通霄精鹽廠,苗栗縣通霄鎮
建順煉鋼股份有限公司(一廠),苗栗縣通霄鎮
日南紡織股份有限公司,臺中市大甲區
天源義記機械股份有限公司,臺中市南屯區
台灣菸酒股份有限公司烏日啤酒廠,臺中市烏日區
東陽穀物股份有限公司,臺中市烏日區
永豐餘工業用紙股份有限公司成功廠,臺中市烏日區
興國橡膠廠股份有限公司,臺中市大肚區
東揚鋼鐵股份有限公司,臺中市大肚區
興農股份有限公司,臺中市大肚區
大昌紙業股份有限公司,臺中市龍井區
味丹企業股份有限公司沙鹿廠,臺中市沙鹿區
福壽實業股份有限公司總廠,臺中市沙鹿區
洽發企業股份有限公司,臺中市清水區
台灣村田股份有限公司,臺中市西屯區
三櫻企業股份有限公司,臺中市梧棲區
統一企業股份有限公司台中廠,臺中市西屯區
豐興鋼鐵股份有限公司,臺中市后里區
正隆股份有限公司后里分公司,臺中市后里區
豐原捲菸研發製造工廠,臺中市豐原區
永進機械工業股份有限公司,臺中市神岡區
史丹利七和國際股份有限公司,臺中市大雅區
台灣佳能股份有限公司,臺中市潭子區
台灣車樂美縫衣機股份有限公司,臺中市霧峰區
味全食品工業股份有限公司台中總廠,臺中市霧峰區
大立紡織股份有限公司,彰化縣和美鎮
三五橡膠廠股份有限公司,彰化縣和美鎮
三五紡織股份有限公司,彰化縣和美鎮
立祥實業股份有限公司,彰化縣和美鎮
元祥金屬工業股份有限公司,彰化縣彰化市
台灣禮光股份有限公司彰化工廠,彰化縣彰化市
台灣化學纖維股份有限公司,彰化縣彰化市
九大紡織廠股份有限公司彰化廠,彰化縣彰化市
大耀紡織股份有限公司,彰化縣和美鎮
富山精機廠股份有限公司,彰化縣和美鎮
裕源紡織股份有限公司,彰化縣和美鎮
三永紡織股份有限公司和美廠,彰化縣和美鎮
正新橡膠工業股份有限公司,彰化縣大村鄉
廣成產業股份有限公司,彰化縣員林市
南銧企業股份有限公司員林廠,彰化縣員林市
員林紡織股份有限公司一廠,彰化縣埔心鄉
正大造紙廠股份有限公司,彰化縣埔心鄉
正新橡膠工業股份有限公司三廠,彰化縣大村鄉
華豐橡膠工業股份有限公司,彰化縣大村鄉
榮成紙業股份有限公司,彰化縣二林鎮
三越紡織工業股份有限公司,彰化縣秀水鄉
遠東機械工業股份有限公司,嘉義市東區
台灣史丹利安防系統股份有限公司,嘉義市東區
台灣中油股份有限公司溶劑化學品事業部,嘉義市西區
禎祥食品工業股份有限公司,嘉義縣朴子市
嘉義鋼鐵股份有限公司,嘉義縣民雄鄉
愛之味股份有限公司,嘉義縣民雄鄉
上評科技實業股份有限公司,嘉義縣民雄鄉
南亞塑膠工業股份有限公司嘉義一廠,嘉義縣太保市
南亞塑膠工業股份有限公司嘉義二廠,嘉義縣太保市
南亞塑膠工業股份有限公司嘉義三廠,嘉義縣太保市
南亞塑膠工業股份有限公司嘉義四廠,嘉義縣太保市
南亞塑膠工業股份有限公司嘉義廠,嘉義縣太保市
易昇鋼鐵股份有限份有限公司,臺南市永康區
正道工業股份有限公司,臺南市仁德區
榮星電線工業股份有限公司,臺南市仁德區
台南紡織股份有限公司仁德廠,臺南市仁德區
