"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"2797",4742,"A6304-0637-00","A6304-39-008","A6304-39","A6304-023-00","023","中庄里","63000040","中山區","63000","臺北市","15","05",NA,303668.12403,2772485.82135,3773.29674,NA,NA
"2798",4743,"A6304-0641-00","A6304-39-008","A6304-39","A6304-023-00","023","中庄里","63000040","中山區","63000","臺北市","02","05",NA,303711.89285,2772476.81041,2398.18013,NA,NA
"2799",4744,"A6304-0630-00","A6304-44-007","A6304-44","A6304-021-00","021","松江里","63000040","中山區","63000","臺北市","03","05",NA,304023.16508,2772497.4609,4750.54185,NA,NA
"2800",4745,"A6304-0631-00","A6304-46-004","A6304-46","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","02",NA,304331.21075,2772494.27567,5653.79999,NA,NA
"2801",4746,"A6301-0164-00","A6301-16-008","A6301-16","A6301-007-00","007","新東里","63000010","松山區","63000","臺北市","03","05",NA,307178.22339,2772483.9038,3983.29185,NA,NA
"2802",4747,"A6304-0632-00","A6304-46-005","A6304-46","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","05",NA,304479.61689,2772492.43081,6464.10154,NA,NA
"2803",4748,"A6304-0633-00","A6304-46-006","A6304-46","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","05",NA,304598.26484,2772491.18166,3115.66488,NA,NA
"2804",4749,"A6304-0634-00","A6304-46-006","A6304-46","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","05",NA,304657.97948,2772489.77148,1971.35673,NA,NA
"2805",4750,"A6301-0160-00","A6301-18-004","A6301-18","A6301-003-00","003","東榮里","63000010","松山區","63000","臺北市","03","01",NA,306276.10187,2772485.84206,3686.02212,NA,NA
"2806",4751,"A6304-0639-00","A6304-45-006","A6304-45","A6304-023-00","023","中庄里","63000040","中山區","63000","臺北市","03","05",NA,303298.56427,2772483.91195,6689.67912,NA,NA
"2807",4752,"A6306-0333-00","A6306-32-001","A6306-32","A6306-011-00","011","雙連里","63000060","大同區","63000","臺北市","03","05",NA,302078.69377,2772443.47912,6363.06738,NA,NA
"2808",4753,"A6304-0635-00","A6304-43-008","A6304-43","A6304-029-00","029","江山里","63000040","中山區","63000","臺北市","03","02",NA,304782.05852,2772488.31432,5080.16237,NA,NA
"2809",4754,"A6304-0638-00","A6304-47-002","A6304-47","A6304-008-00","008","集英里","63000040","中山區","63000","臺北市","03","05",NA,302584.4962,2772486.08284,5164.79163,NA,NA
"2810",4755,"A6304-0640-00","A6304-45-006","A6304-45","A6304-023-00","023","中庄里","63000040","中山區","63000","臺北市","03","01",NA,303431.68444,2772482.13192,6466.80387,NA,NA
"2811",4756,"A6304-0679-00","A6304-47-003","A6304-47","A6304-008-00","008","集英里","63000040","中山區","63000","臺北市","02","01",NA,302697.53309,2772395.49691,25818.45099,NA,NA
"2812",4775,"A6301-0189-00","A6301-12-008","A6301-12","A6301-010-00","010","精忠里","63000010","松山區","63000","臺北市","15","05",NA,305503.31206,2772413.19644,11040.29007,NA,NA
"2813",4776,"A6306-0329-00","A6306-28-003","A6306-28","A6306-011-00","011","雙連里","63000060","大同區","63000","臺北市","03","05",NA,302409.31641,2772459.83867,3975.81357,NA,NA
"2814",4777,"A6310-1162-00","A6310-86-001","A6310-86","A6310-028-00","028","石潭里","63000100","內湖區","63000","臺北市","01","05",NA,309157.3378,2772382.18227,17249.29661,NA,NA
"2815",4778,"A6310-1171-00","A6310-75-014","A6310-75","A6310-026-00","026","週美里","63000100","內湖區","63000","臺北市","15","05",NA,308717.06446,2772266.37939,55461.16192,NA,NA
"2816",4779,"A6304-0658-00","A6304-42-006","A6304-42","A6304-021-00","021","松江里","63000040","中山區","63000","臺北市","02","05",NA,303819.43306,2772441.60056,4728.4454,NA,NA
"2817",4780,"A6304-0648-00","A6304-42-008","A6304-42","A6304-021-00","021","松江里","63000040","中山區","63000","臺北市","03","05",NA,303906.49325,2772460.57092,4118.48077,NA,NA
"2818",4781,"A6301-0174-00","A6301-17-006","A6301-17","A6301-003-00","003","東榮里","63000010","松山區","63000","臺北市","03","05",NA,306600.90112,2772458.30777,3707.02968,NA,NA
"2819",4782,"A6304-0649-00","A6304-44-008","A6304-44","A6304-021-00","021","松江里","63000040","中山區","63000","臺北市","03","05",NA,304022.08773,2772459.42607,4392.8763,NA,NA
